,"FY2021 Per Diem Rates - Effective October 1, 2020",,,,,,
ID,STATE,DESTINATION,COUNTY/LOCATION DEFINED,SEASON BEGIN,SEASON END,FY21 Lodging Rate,FY21 M&IE
,,Standard CONUS rate applies to all counties not specifically listed. Cities not listed may be located in a listed county.,,,,$ 96,$ 55
1,AL,Birmingham,Jefferson,,,$ 113,$ 56
2,AL,Gulf Shores,Baldwin,October 1,February 28,$ 111,$ 61
2,AL,Gulf Shores,Baldwin,March 1,May 31,$ 136,$ 61
2,AL,Gulf Shores,Baldwin,June 1,July 31,$ 173,$ 61
2,AL,Gulf Shores,Baldwin,August 1,September 30,$ 111,$ 61
460,AL,Mobile,Mobile,October 1,December 31,$ 96,$ 61
460,AL,Mobile,Mobile,January 1,March 31,$ 105,$ 61
460,AL,Mobile,Mobile,April 1,September 30,$ 96,$ 61
6,AR,Hot Springs,Garland,,,$ 103,$ 61
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,October 1,October 31,$ 138,$ 66
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,November 1,February 28,$ 96,$ 66
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,March 1,April 30,$ 118,$ 66
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,May 1,September 30,$ 138,$ 66
8,AZ,Kayenta,Navajo,October 1,October 31,$ 134,$ 66
8,AZ,Kayenta,Navajo,November 1,February 28,$ 102,$ 66
8,AZ,Kayenta,Navajo,March 1,September 30,$ 134,$ 66
10,AZ,Phoenix / Scottsdale,Maricopa,October 1,May 31,$ 151,$ 56
10,AZ,Phoenix / Scottsdale,Maricopa,June 1,August 31,$ 96,$ 56
10,AZ,Phoenix / Scottsdale,Maricopa,September 1,September 30,$ 151,$ 56
11,AZ,Sedona,City Limits of Sedona,October 1,December 31,$ 180,$ 76
11,AZ,Sedona,City Limits of Sedona,January 1,February 28,$ 146,$ 76
11,AZ,Sedona,City Limits of Sedona,March 1,April 30,$ 220,$ 76
11,AZ,Sedona,City Limits of Sedona,May 1,August 31,$ 154,$ 76
11,AZ,Sedona,City Limits of Sedona,September 1,September 30,$ 180,$ 76
12,AZ,Tucson,Pima,October 1,December 31,$ 96,$ 61
12,AZ,Tucson,Pima,January 1,March 31,$ 133,$ 61
12,AZ,Tucson,Pima,April 1,September 30,$ 96,$ 61
14,CA,Antioch / Brentwood / Concord,Contra Costa,,,$ 165,$ 66
481,CA,Bakersfield / Ridgecrest,Kern,,,$ 116,$ 61
16,CA,Barstow / Ontario / Victorville,San Bernardino,,,$ 111,$ 61
