,"FY2022 Per Diem Rates - Effective October 1, 2021",,,,,,
ID,STATE,DESTINATION,COUNTY/LOCATION DEFINED,SEASON BEGIN,SEASON END,FY22 Lodging Rate,FY22 M&IE
37,CA,San Mateo / Foster City / Belmont,San Mateo,,,$ 222,$ 74
38,CA,Santa Barbara,Santa Barbara,October 1,June 30,$ 177,$ 74
38,CA,Santa Barbara,Santa Barbara,July 1,August 31,$ 228,$ 74
38,CA,Santa Barbara,Santa Barbara,September 1,September 30,$ 177,$ 74
39,CA,Santa Cruz,Santa Cruz,October 1,May 31,$ 128,$ 69
39,CA,Santa Cruz,Santa Cruz,June 1,August 31,$ 172,$ 69
39,CA,Santa Cruz,Santa Cruz,September 1,September 30,$ 128,$ 69
40,CA,Santa Monica ,City limits of Santa Monica,October 1,May 31,$ 239,$ 79
40,CA,Santa Monica ,City limits of Santa Monica,June 1,August 31,$ 284,$ 79
40,CA,Santa Monica ,City limits of Santa Monica,September 1,September 30,$ 239,$ 79
41,CA,Santa Rosa,Sonoma,,,$ 157,$ 74
42,CA,South Lake Tahoe,El Dorado,October 1,December 31,$ 135,$ 74
42,CA,South Lake Tahoe,El Dorado,January 1,June 30,$ 120,$ 74
42,CA,South Lake Tahoe,El Dorado,July 1,September 30,$ 135,$ 74
43,CA,Stockton ,San Joaquin,,,$ 140,$ 74
44,CA,Sunnyvale / Palo Alto / San Jose,Santa Clara,,,$ 245,$ 74
45,CA,Tahoe City,Placer,,,$ 124,$ 74
46,CA,Truckee,Nevada ,,,$ 126,$ 79
47,CA,Visalia,Tulare,,,$ 113,$ 69
48,CA,West Sacramento / Davis,Yolo,,,$ 133,$ 69
49,CA,Yosemite National Park,Mariposa,October 1,November 30,$ 120,$ 79
49,CA,Yosemite National Park,Mariposa,December 1,August 31,$ 136,$ 79
49,CA,Yosemite National Park,Mariposa,September 1,September 30,$ 120,$ 79
50,CO,Aspen,Pitkin,October 1,November 30,$ 188,$ 79
50,CO,Aspen,Pitkin,December 1,March 31,$ 375,$ 79
50,CO,Aspen,Pitkin,April 1,May 31,$ 147,$ 79
50,CO,Aspen,Pitkin,June 1,September 30,$ 188,$ 79
52,CO,Boulder / Broomfield,Boulder / Broomfield,October 1,April 30,$ 128,$ 69
52,CO,Boulder / Broomfield,Boulder / Broomfield,May 1,August 31,$ 160,$ 69
52,CO,Boulder / Broomfield,Boulder / Broomfield,September 1,September 30,$ 128,$ 69
53,CO,Colorado Springs,El Paso,October 1,May 31,$ 112,$ 69
53,CO,Colorado Springs,El Paso,June 1,August 31,$ 147,$ 69
53,CO,Colorado Springs,El Paso,September 1,September 30,$ 112,$ 69
54,CO,Cortez,Montezuma,October 1,May 31,$ 96,$ 64
54,CO,Cortez,Montezuma,June 1,September 30,$ 122,$ 64
55,CO,Crested Butte / Gunnison,Gunnison,October 1,November 30,$ 126,$ 74
55,CO,Crested Butte / Gunnison,Gunnison,December 1,March 31,$ 175,$ 74
55,CO,Crested Butte / Gunnison,Gunnison,April 1,May 31,$ 106,$ 74
55,CO,Crested Butte / Gunnison,Gunnison,June 1,September 30,$ 126,$ 74
56,CO,Denver / Aurora,Denver / Adams / Arapahoe / Jefferson,October 1,October 31,$ 199,$ 79
56,CO,Denver / Aurora,Denver / Adams / Arapahoe / Jefferson,November 1,December 31,$ 153,$ 79
56,CO,Denver / Aurora,Denver / Adams / Arapahoe / Jefferson,January 1,March 31,$ 162,$ 79
