,"FY2020 Per Diem Rates - Effective October 1, 2019",,,,,,
ID,STATE,DESTINATION,COUNTY/LOCATION DEFINED,SEASON BEGIN,SEASON END,FY20 Lodging Rate,FY20 M&IE
,,Standard CONUS rate applies to all counties not specifically listed. Cities not listed may be located in a listed county.,,,,$ 96,$ 55
,AL,Birmingham,Jefferson,,,$ 110,$ 56
2,AL,Gulf Shores,Baldwin,October 1,February 29,$ 112,$ 61
2,AL,Gulf Shores,Baldwin,March 1,May 31,$ 130,$ 61
2,AL,Gulf Shores,Baldwin,June 1,July 31,$ 169,$ 61
2,AL,Gulf Shores,Baldwin,August 1,September 30,$ 112,$ 61
460,AL,Mobile,Mobile,October 1,December 31,$ 96,$ 61
460,AL,Mobile,Mobile,January 1,February 29,$ 104,$ 61
460,AL,Mobile,Mobile,March 1,September 30,$ 96,$ 61
6,AR,Hot Springs,Garland,,,$ 104,$ 61
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,October 1,October 31,$ 141,$ 66
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,November 1,February 29,$ 96,$ 66
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,March 1,April 30,$ 115,$ 66
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,May 1,September 30,$ 141,$ 66
8,AZ,Kayenta,Navajo,October 1,October 31,$ 130,$ 66
8,AZ,Kayenta,Navajo,November 1,December 31,$ 108,$ 66
8,AZ,Kayenta,Navajo,January 1,September 30,$ 130,$ 66
10,AZ,Phoenix / Scottsdale,Maricopa,October 1,May 31,$ 146,$ 56
10,AZ,Phoenix / Scottsdale,Maricopa,June 1,August 31,$ 96,$ 56
10,AZ,Phoenix / Scottsdale,Maricopa,September 1,September 30,$ 146,$ 56
11,AZ,Sedona,City Limits of Sedona,October 1,February 29,$ 175,$ 76
11,AZ,Sedona,City Limits of Sedona,March 1,August 31,$ 183,$ 76
11,AZ,Sedona,City Limits of Sedona,September 1,September 30,$ 175,$ 76
12,AZ,Tucson,Pima,October 1,December 31,$ 96,$ 61
12,AZ,Tucson,Pima,January 1,March 31,$ 125,$ 61
12,AZ,Tucson,Pima,April 1,September 30,$ 96,$ 61
